"codigo_linha","nome_linha","categoria","cor","apenas_cartao","geojson"
"226","ABAETÉ","ALIMENTADOR","LARANJA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2409526474314,-25.3932155236369],[-49.2407301881713,-25.3933863455894],[-49.2407059303345,-25.3935258631516],[-49.2409782376359,-25.3938150814576],[-49.242495729221,-25.3926395595599],[-49.2455431921239,-25.390321421732],[-49.2437374996344,-25.3883667408452],[-49.2481170561263,-25.3850665155115],[-49.2465586230725,-25.3834592363152],[-49.2460345938613,-25.3832391241033],[-49.2452632817715,-25.3823069069882],[-49.247679388729,-25.3804173821727],[-49.2467681948315,-25.3794227355055],[-49.2461666108317,-25.3799386819938],[-49.2433523201379,-25.3769020248717],[-49.2426759886817,-25.3777564092745],[-49.2415751498695,-25.3784131966402],[-49.2381112079887,-25.3763121842351],[-49.2387935666194,-25.3752271240622],[-49.2431742759754,-25.3719222537545],[-49.2445754929095,-25.3735345068964],[-49.2457830973482,-25.3723988403821],[-49.2456477695067,-25.3722949259237],[-49.2463662596247,-25.3715874009162],[-49.2449598467885,-25.3704131554319],[-49.2441688746587,-25.3700636298718],[-49.2432204183333,-25.3698114115504],[-49.245096925912,-25.3684876107351],[-49.2451679647803,-25.368520676693]]]}"
"182","ABRANCHES","TRONCAL","AMARELA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2623425651231,-25.3775696072902],[-49.2622722171975,-25.3776596082183],[-49.2622222020058,-25.3775547681089]]]}"
"332","ACRÓPOLE","ALIMENTADOR","LARANJA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.1936686248876,-25.4797613171678],[-49.1915497485069,-25.4757977183928],[-49.1917887990069,-25.4676853205429],[-49.1929192293203,-25.4657839073815],[-49.1948503309216,-25.4663622490946],[-49.1968869006099,-25.4668990054829],[-49.1980190518875,-25.4673958667607],[-49.1997617936672,-25.4681740742075],[-49.2060416945185,-25.4696626051075],[-49.2081995994721,-25.4701907545548],[-49.2084466062141,-25.4693112695071],[-49.2079821730267,-25.4691970253091]]]}"
"334","AGRÍCOLA","ALIMENTADOR","LARANJA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.1962198139663,-25.4591758815321],[-49.19425323109,-25.4585531176851],[-49.1930255613279,-25.4612120636004],[-49.1927954908896,-25.4620047739703],[-49.1930823588346,-25.4628219461854],[-49.1934812627289,-25.4629306918835],[-49.1938602126815,-25.463693909555],[-49.1940685099219,-25.4637404630884],[-49.1935825122736,-25.4642393299456],[-49.1927922477088,-25.4645139625068],[-49.1921212584054,-25.4649188866921],[-49.1918850551003,-25.465486179227],[-49.1948503309216,-25.4663622490946],[-49.1968869006099,-25.4668990054829],[-49.1973137155487,-25.467085570633],[-49.1980190518875,-25.4673958667607],[-49.1997617936672,-25.4681740742075],[-49.2004394447097,-25.4659049725247],[-49.2066918844496,-25.4674422601993],[-49.2069451154968,-25.467508763637],[-49.2066581968795,-25.4683804458337],[-49.207658470163,-25.4686362967267],[-49.2075202746391,-25.4690852587659],[-49.2079821730267,-25.4691970253091]]]}"
"180","ÁGUA VERDE/ ABRANCHES","CONVENCIONAL","AMARELA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2722534263806,-25.3814353840895],[-49.2719387391409,-25.3810759229447],[-49.2707467269263,-25.3817261480723],[-49.2689860412052,-25.3812223367002],[-49.2683716940033,-25.3813024229398],[-49.2677022363628,-25.3836536579625],[-49.2678256238802,-25.3855086355066],[-49.26725667112,-25.3866473103677],[-49.2676009507911,-25.3874839063478],[-49.2673120434044,-25.3915560588422],[-49.2679512618577,-25.3918924622827],[-49.2690799561795,-25.3922468019607],[-49.2700441246035,-25.3939542490495],[-49.270754245339,-25.3942434263911],[-49.2712122510685,-25.3947503454578],[-49.2710969475043,-25.3961500329654],[-49.2714291927987,-25.3976720447188],[-49.2713287145536,-25.4035131095781],[-49.2709550436063,-25.4060448833798],[-49.2718395905855,-25.4081035025152],[-49.2713233980367,-25.4101443313237],[-49.2717236232405,-25.4118125219025],[-49.2711139903497,-25.4134389253725],[-49.2713940997873,-25.4163418175645],[-49.2708149816744,-25.4213536099275],[-49.26934608646,-25.421667865578],[-49.2690161612312,-25.4204149027268],[-49.2682456997916,-25.4208347672589],[-49.2684565987827,-25.4228633221381],[-49.268828021246,-25.4240804674941],[-49.2683006094967,-25.4287538828309],[-49.2692833815807,-25.4288325549975],[-49.2711448864613,-25.4296549825356],[-49.2711716456482,-25.4300789534617],[-49.2722841918285,-25.4304159895308],[-49.2698240237954,-25.4352999744277],[-49.27354733758,-25.436773175818],[-49.2727360611033,-25.4384111217782],[-49.2699505242009,-25.4442130092159],[-49.2686044167561,-25.4469889996564],[-49.2811422267049,-25.4517471097423],[-49.2805338279151,-25.4530913426171],[-49.283220631949,-25.4590457019717],[-49.2842961634704,-25.458598815379],[-49.2863316890458,-25.4632289645508],[-49.2834327020589,-25.4643799388353],[-49.2878932033011,-25.4683746109001],[-49.2901034059899,-25.4703526585538],[-49.289855426038,-25.4708366983605],[-49.2893359413137,-25.4706357652725],[-49.289855426038,-25.4708366983605]]]}"
"265","AHÚ / LOS ANGELES","CONVENCIONAL","AMARELA","S","{""type"":""MultiLineString"",""coordinates"":[[[-49.3100747486332,-25.4522613167889],[-49.310214881793,-25.452419192454],[-49.3093893595552,-25.4526907868174],[-49.3075520256169,-25.4511419094484],[-49.3062314140455,-25.4511755656734],[-49.3048765013022,-25.4517343445574],[-49.3047912687192,-25.4525369224366],[-49.3041239394972,-25.4524185709913],[-49.3021456282549,-25.4528388552144],[-49.2675124015417,-25.4398381369837],[-49.2698240237954,-25.4352999744277],[-49.2722841918285,-25.4304159895308],[-49.2711716456482,-25.4300789534617],[-49.2711448864613,-25.4296549825356],[-49.2692833815807,-25.4288325549975],[-49.2683006094967,-25.4287538828309],[-49.268828021246,-25.4240804674941],[-49.2684565987827,-25.4228633221381],[-49.2682456997916,-25.4208347672589],[-49.2690170214124,-25.4204166155189],[-49.2680830680432,-25.4168383178177],[-49.2669578718582,-25.4170916398999],[-49.2664598624642,-25.4168399531793],[-49.2657299431752,-25.4142500529748],[-49.2660268966269,-25.4139320444513],[-49.265701277088,-25.4127299214254],[-49.266147643834,-25.4090580299322],[-49.2612876117953,-25.4100672496706],[-49.2601247648485,-25.4054972755387],[-49.2588095058489,-25.4057537262956],[-49.2567700703108,-25.4061499239366],[-49.258304347191,-25.4036131342199],[-49.2585061970074,-25.4032608375163],[-49.2586407764543,-25.4017677269509],[-49.2577751567457,-25.4002458406999],[-49.2524465979847,-25.3992775277293],[-49.2545877650346,-25.3982980730619]]]}"
"560","ALFERES POLI","CONVENCIONAL","AMARELA","S","{""type"":""MultiLineString"",""coordinates"":[[[-49.2717219707004,-25.4352724842129],[-49.2719894246031,-25.4346824088373],[-49.2739998473545,-25.4354910226443],[-49.2747908944557,-25.4363038850907],[-49.2736307895612,-25.4365990144679],[-49.2627615774964,-25.4590518991616],[-49.2657046913885,-25.46025837564],[-49.2638203903562,-25.4641539651569],[-49.2650728980478,-25.4646864641286],[-49.2642279296809,-25.4662806549333],[-49.264197083791,-25.4674826684236],[-49.2628646069752,-25.4703360871511],[-49.2624536962448,-25.4701962708638],[-49.26196136546,-25.4717540835636],[-49.2581620043833,-25.4742464396685],[-49.2585678652677,-25.4747492775712]]]}"
"232","ALIANÇA","ALIMENTADOR","LARANJA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2241920892946,-25.3770118763076],[-49.2234846961562,-25.3770017900144],[-49.2231024360298,-25.3769719550168],[-49.2230496102258,-25.3768663808089],[-49.2231169117073,-25.3767480892771],[-49.2246373315362,-25.3767658823536],[-49.224877542004,-25.3767074688036],[-49.2237942593826,-25.3755175639819],[-49.2233153816891,-25.3749766170682],[-49.2231780969521,-25.3746478546432],[-49.2231107058588,-25.3743305223984],[-49.2238873391849,-25.3741276836965],[-49.2238963710973,-25.3741598398739],[-49.2263727752776,-25.373514841553],[-49.2282929902636,-25.372105466483],[-49.2272010072886,-25.3686875623063],[-49.2269019846153,-25.3680282625176],[-49.226892446437,-25.367462803766],[-49.2269334466598,-25.3670917882663],[-49.2274347279805,-25.3656602404213],[-49.2277262639826,-25.3646378158178],[-49.2284122989284,-25.3632570416819],[-49.2312943992112,-25.3642483626927],[-49.2321302209174,-25.3636761419619],[-49.2328296433941,-25.3639474995529],[-49.2331444019175,-25.3636413640143],[-49.2338615416943,-25.363405795936],[-49.2338337923136,-25.3631800705913],[-49.2330693531326,-25.3624008054498],[-49.2316407274681,-25.3610633183244],[-49.2314623142511,-25.3603186353753],[-49.2313681691821,-25.3598918169231],[-49.2324497315301,-25.3587778455658],[-49.2332679655255,-25.3579894068856]]]}"
"629","ALTO BOQUEIRÃO","ALIMENTADOR","LARANJA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2934546612916,-25.4921739435725],[-49.2934992534813,-25.4917091014653],[-49.2913466071883,-25.4916484930482],[-49.2911867999326,-25.4932686850986],[-49.2922174305796,-25.4949263655397],[-49.2913429294167,-25.4952387777687],[-49.2883646126559,-25.4941818127389],[-49.2871815252763,-25.4949651951939],[-49.2858994450252,-25.4948091263538],[-49.2835172767334,-25.4947405015339],[-49.2810101300812,-25.4943414463377],[-49.2790814524711,-25.4946512641755],[-49.2770234122673,-25.4953550357829],[-49.2776961320692,-25.4961631242757],[-49.2763525024301,-25.4970577142129],[-49.2753862480252,-25.4958715262519],[-49.2735123053827,-25.4965275361278],[-49.2721721637389,-25.4964849059638],[-49.270086658984,-25.4965921955038],[-49.2690426325324,-25.4967647877018],[-49.268128574079,-25.4974414288702],[-49.2673094185776,-25.4990492474313],[-49.2664733003173,-25.5008639122518],[-49.2656132443644,-25.5018851276888],[-49.2653218850912,-25.5026049008558],[-49.2640932333632,-25.5064700996933],[-49.2640672881254,-25.507793067422],[-49.2637389324705,-25.5088653318371],[-49.2621026384838,-25.5102177355099],[-49.2612096598885,-25.5106565217907],[-49.2605249313651,-25.5111214341891],[-49.2591343403033,-25.5123304686681],[-49.2574755758409,-25.5148853364625],[-49.2561320107671,-25.5165719201672],[-49.2552460728465,-25.5184878033872],[-49.2551741167691,-25.5195165395496],[-49.2552561177742,-25.520863460788],[-49.2546478304266,-25.5238094429109],[-49.2535659232793,-25.5260382240645],[-49.2503099536163,-25.5275959896566],[-49.2493367290079,-25.5284544457066],[-49.2480068023177,-25.5292374574155],[-49.2463243788521,-25.5303745900608],[-49.2444168338764,-25.5310292939011],[-49.2421383889344,-25.5318276507071],[-49.2403800368385,-25.5325392827989],[-49.2370130902704,-25.5345492887414],[-49.2365182844555,-25.5350509135019],[-49.2371792397466,-25.5357874618102],[-49.242225120959,-25.5360739442134],[-49.2418832637402,-25.5370414056148],[-49.2416281326018,-25.5398743366714],[-49.241937142842,-25.5426784775635]]]}"
"373","ALTO TARUMÃ","TRONCAL","AMARELA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2053952171495,-25.4129451426742],[-49.2049210453614,-25.4127579407263],[-49.2045788941694,-25.4134802790262],[-49.2055434580722,-25.4138737677731],[-49.2054825694439,-25.4139985571784],[-49.2055327098447,-25.4140188719312],[-49.2036958093589,-25.4179333460589],[-49.2080758408979,-25.4196612601864],[-49.2055708957842,-25.4249661751707],[-49.2142725544274,-25.4279198724586],[-49.2133001435377,-25.4302601339074],[-49.2395183480768,-25.4273165139593],[-49.2411058814703,-25.4278218012274],[-49.259133845339,-25.426310318447],[-49.2670144344122,-25.4294741611792],[-49.2666653821513,-25.4302211414338],[-49.2722026266512,-25.4325362429677],[-49.2717533444817,-25.4334712612847],[-49.2703515208428,-25.4329410829786]]]}"
