"numero_ponto","tipo","endereco","geojson","codigo_linha","nome_linha","categoria","cor","apenas_cartao"
101001,"Novo mobiliário","Praça Tiradentes - 870 - São Braz","{""type"":""Point"",""coordinates"":[-49.272649319118,-25.42968875223]}","870","SÃO BRAZ","CONVENCIONAL","AMARELA","N"
101001,"Novo mobiliário","Praça Tiradentes - 870 - São Braz","{""type"":""Point"",""coordinates"":[-49.272649319118,-25.42968875223]}","870","SÃO BRAZ","CONVENCIONAL","AMARELA","N"
101001,"Novo mobiliário","Praça Tiradentes - 870 - São Braz","{""type"":""Point"",""coordinates"":[-49.272649319118,-25.42968875223]}","889","MAD. SÃO BRÁZ","MADRUGUEIRO","MADRUGUEIRO","N"
101002,"Novo mobiliário","Praça Tiradentes - 865 - Jd Esplanada","{""type"":""Point"",""coordinates"":[-49.272544712967,-25.42990555125]}","865","JD. ESPLANADA","CONVENCIONAL","AMARELA","S"
101002,"Novo mobiliário","Praça Tiradentes - 865 - Jd Esplanada","{""type"":""Point"",""coordinates"":[-49.272544712967,-25.42990555125]}","865","JD. ESPLANADA","CONVENCIONAL","AMARELA","S"
101003,"Novo mobiliário","Praça Tiradentes - 875 - Bigorrilho","{""type"":""Point"",""coordinates"":[-49.2724950921,-25.430029090182]}","875","BIGORRILHO","CONVENCIONAL","AMARELA","S"
101003,"Novo mobiliário","Praça Tiradentes - 875 - Bigorrilho","{""type"":""Point"",""coordinates"":[-49.2724950921,-25.430029090182]}","875","BIGORRILHO","CONVENCIONAL","AMARELA","S"
101004,"Novo mobiliário","Praça Tiradentes - 876 - Savóia","{""type"":""Point"",""coordinates"":[-49.272456604299,-25.430119444658]}","876","SAVÓIA","CONVENCIONAL","AMARELA","N"
101004,"Novo mobiliário","Praça Tiradentes - 876 - Savóia","{""type"":""Point"",""coordinates"":[-49.272456604299,-25.430119444658]}","876","SAVÓIA","CONVENCIONAL","AMARELA","N"
101005,"Novo mobiliário","Praça Tiradentes - 207 - Cabral/ Osório - 260 - Mal.Hermes/Sta.Efigênia","{""type"":""Point"",""coordinates"":[-49.271926463789,-25.430195019723]}","260","MAL. HERMES / STA. EFIGÊNIA","CONVENCIONAL","AMARELA","S"
101005,"Novo mobiliário","Praça Tiradentes - 207 - Cabral/ Osório - 260 - Mal.Hermes/Sta.Efigênia","{""type"":""Point"",""coordinates"":[-49.271926463789,-25.430195019723]}","207","CABRAL / OSÓRIO","TRONCAL","AMARELA","N"
101006,"Novo mobiliário","Praça Tiradentes - 265 - Ahú/ Los Angeles","{""type"":""Point"",""coordinates"":[-49.271831245369,-25.430175641103]}","265","AHÚ / LOS ANGELES","CONVENCIONAL","AMARELA","S"
101007,"Novo mobiliário","Praça Tiradentes - 180 - Água Verde/ Abranches","{""type"":""Point"",""coordinates"":[-49.271732003635,-25.430153840151]}","180","ÁGUA VERDE/ ABRANCHES","CONVENCIONAL","AMARELA","N"
101008,"Novo mobiliário","Praça Tiradentes - 285 - Juvevê/ Água Verde","{""type"":""Point"",""coordinates"":[-49.271632761902,-25.43013930618]}","285","JUVEVÊ / ÁGUA VERDE","CONVENCIONAL","AMARELA","S"
101009,"Novo mobiliário","Praça Tiradentes - 366 - Itupava/ Hospital Militar","{""type"":""Point"",""coordinates"":[-49.271544249004,-25.430115082892]}","366","ITUPAVA / HOSP. MILITAR","CONVENCIONAL","AMARELA","S"
101010,"Novo mobiliário","Praça Tiradentes - 380 - Detran/ Vicente Machado","{""type"":""Point"",""coordinates"":[-49.271423549599,-25.430089648435]}","380","DETRAN / VIC. MACHADO","CONVENCIONAL","AMARELA","N"
101011,"Novo mobiliário","Praça Tiradentes, 421 - Centro","{""type"":""Point"",""coordinates"":[-49.271253229326,-25.430059369312]}","393","C. IMBUIA / PQ. BARIGUI","CONVENCIONAL","AMARELA","S"
101011,"Novo mobiliário","Praça Tiradentes, 421 - Centro","{""type"":""Point"",""coordinates"":[-49.271253229326,-25.430059369312]}","360","NOVENA","CONVENCIONAL","AMARELA","N"
101011,"Novo mobiliário","Praça Tiradentes, 421 - Centro","{""type"":""Point"",""coordinates"":[-49.271253229326,-25.430059369312]}","001","CIRCULAR CENTRO (HORÁRIO)","CIRCULAR CENTRO","BRANCA","S"
101012,"Novo mobiliário","Praça Tiradentes, 70 - Centro","{""type"":""Point"",""coordinates"":[-49.271108390039,-25.429458629939]}","150","C. MÚSICA / V. ALEGRE","CONVENCIONAL","AMARELA","S"
101013,"Novo mobiliário","Praça Tiradentes - 965 - São Bernardo","{""type"":""Point"",""coordinates"":[-49.271137894339,-25.429343568629]}","965","SÃO BERNARDO","TRONCAL","AMARELA","S"
101013,"Novo mobiliário","Praça Tiradentes - 965 - São Bernardo","{""type"":""Point"",""coordinates"":[-49.271137894339,-25.429343568629]}","965","SÃO BERNARDO","TRONCAL","AMARELA","S"
101014,"Novo mobiliário","Praça Tiradentes - 967 - Júlio Graf","{""type"":""Point"",""coordinates"":[-49.271171421951,-25.429263631233]}","967","JÚLIO GRAF","CONVENCIONAL","AMARELA","S"
101014,"Novo mobiliário","Praça Tiradentes - 967 - Júlio Graf","{""type"":""Point"",""coordinates"":[-49.271171421951,-25.429263631233]}","967","JÚLIO GRAF","CONVENCIONAL","AMARELA","S"
101015,"Novo mobiliário","Praça Tiradentes - 464 - A.Munhoz / J.Botânico","{""type"":""Point"",""coordinates"":[-49.271203608459,-25.429167948522]}","464","A. MUNHOZ / J. BOTÂNICO","CONVENCIONAL","AMARELA","S"
101016,"Linha Turismo","Praça Tiradentes - 979 - Linha Turismo","{""type"":""Point"",""coordinates"":[-49.271544255016,-25.429586014047]}","979","TURISMO","JARDINEIRA","TURISMO","M"
101016,"Linha Turismo","Praça Tiradentes - 979 - Linha Turismo","{""type"":""Point"",""coordinates"":[-49.271544255016,-25.429586014047]}","979","TURISMO","JARDINEIRA","TURISMO","M"
101017,"Novo mobiliário","Praça Tiradentes - 280 - Nossa Senhora de Nazaré","{""type"":""Point"",""coordinates"":[-49.271190197414,-25.428906334648]}","280","NOSSA SRA. DE NAZARÉ","CONVENCIONAL","AMARELA","S"
101017,"Novo mobiliário","Praça Tiradentes - 280 - Nossa Senhora de Nazaré","{""type"":""Point"",""coordinates"":[-49.271190197414,-25.428906334648]}","280","NOSSA SRA. DE NAZARÉ","CONVENCIONAL","AMARELA","S"
101018,"Novo mobiliário","Praça Tiradentes - 181 - Mateus Leme","{""type"":""Point"",""coordinates"":[-49.271145940966,-25.428752515113]}","181","MATEUS LEME","CONVENCIONAL","AMARELA","S"
101018,"Novo mobiliário","Praça Tiradentes - 181 - Mateus Leme","{""type"":""Point"",""coordinates"":[-49.271145940966,-25.428752515113]}","181","MATEUS LEME","CONVENCIONAL","AMARELA","S"
101019,"Novo mobiliário","Praça Tiradentes  - 184 - Vila Suíça","{""type"":""Point"",""coordinates"":[-49.271118968848,-25.428670154967]}","184","V. SUIÇA","CONVENCIONAL","AMARELA","S"
101019,"Novo mobiliário","Praça Tiradentes  - 184 - Vila Suíça","{""type"":""Point"",""coordinates"":[-49.271118968848,-25.428670154967]}","184","V. SUIÇA","CONVENCIONAL","AMARELA","S"
