"codigo_linha","nome_linha","categoria","cor","apenas_cartao"
"001","CIRCULAR CENTRO (HORÁRIO)","CIRCULAR CENTRO","BRANCA","S"
"002","CIRCULAR CENTRO (ANTI-HORÁRIO)","CIRCULAR CENTRO","BRANCA","S"
"010","INTERBAIRROS I (HORÁRIO)","INTERBAIRROS","VERDE","N"
"011","INTERBAIRROS I (ANTI-HORÁRIO)","INTERBAIRROS","VERDE","N"
"020","INTERBAIRROS II (HORÁRIO)","INTERBAIRROS","VERDE","N"
"021","INTERBAIRROS II (ANTI-HORÁRIO)","INTERBAIRROS","VERDE","N"
"022","INTER 2 (HORÁRIO)","LINHA DIRETA","PRATA","N"
"023","INTER 2 ( ANTI-HORÁRIO)","LINHA DIRETA","PRATA","N"
"024","C. RASO / CAMP. SIQUEIRA","LINHA DIRETA","PRATA","N"
"030","INTERBAIRROS III","INTERBAIRROS","VERDE","N"
"040","INTERBAIRROS IV","INTERBAIRROS","VERDE","N"
"050","INTERBAIRROS V","INTERBAIRROS","VERDE","N"
"060","INTERBAIRROS VI","INTERBAIRROS","VERDE","N"
"150","C. MÚSICA / V. ALEGRE","CONVENCIONAL","AMARELA","S"
"160","JD. MERCÊS / GUANABARA","CONVENCIONAL","AMARELA","N"
"164","R.PRADO/C.GOMES","CONVENCIONAL","AMARELA","S"
"165","UNIVERSIDADES","CONVENCIONAL","AMARELA","S"
"166","V. NORI","CONVENCIONAL","AMARELA","F"
"167","FREDOLIN WOLF","CONVENCIONAL","AMARELA","S"
"168","RAPOSO TAVARES","CONVENCIONAL","AMARELA","F"
"169","JD. KOSMOS","CONVENCIONAL","AMARELA","F"
"170","BRACATINGA","CONVENCIONAL","AMARELA","N"
"171","PRIMAVERA","CONVENCIONAL","AMARELA","N"
"175","BOM RETIRO / PUC","CONVENCIONAL","AMARELA","F"
"176","NILO PEÇANHA","CONVENCIONAL","AMARELA","S"
"180","ÁGUA VERDE/ ABRANCHES","CONVENCIONAL","AMARELA","N"
"181","MATEUS LEME","CONVENCIONAL","AMARELA","S"
"182","ABRANCHES","TRONCAL","AMARELA","N"
"183","JD. CHAPARRAL","CONVENCIONAL","AMARELA","N"
"184","V. SUIÇA","CONVENCIONAL","AMARELA","S"
"188","MAD. PILARZINHO / UBERABA","MADRUGUEIRO","MADRUGUEIRO","N"
"189","MAD. ABRANCHES","MADRUGUEIRO","MADRUGUEIRO","N"
"201","BOM RETIRO / CABRAL","TRONCAL","AMARELA","N"
"203","STA. CÂNDIDA / C. RASO","EXPRESSO","VERMELHA","N"
"204","STA. CÂNDIDA / PINHEIRINHO","LINHA DIRETA","PRATA","N"
"205","BARREIRINHA","TRONCAL","AMARELA","N"
"207","CABRAL / OSÓRIO","TRONCAL","AMARELA","N"
"209","MAD. S. CÂNDIDA / C. RASO","MADRUGUEIRO","MADRUGUEIRO","N"
"210","CIC/CABRAL","LINHA DIRETA","PRATA","N"
"211","COLINA VERDE","ALIMENTADOR","LARANJA","F"
"212","SOLAR","ALIMENTADOR","LARANJA","S"
"213","SÃO JOÃO","ALIMENTADOR","LARANJA","S"
"214","TINGUI","ALIMENTADOR","LARANJA","S"
"216","CABRAL / PORTÃO","ALIMENTADOR","LARANJA","N"
"222","V. ESPERANÇA","ALIMENTADOR","LARANJA","N"
"224","CASSIOPÉIA","ALIMENTADOR","LARANJA","S"
"225","BOA VISTA / BARREIRINHA","ALIMENTADOR","LARANJA","N"
"226","ABAETÉ","ALIMENTADOR","LARANJA","N"
"229","MAD. PENHA / F. NORONHA","MADRUGUEIRO","MADRUGUEIRO","S"
"231","BANESTADO / CALIFÓRNIA","ALIMENTADOR","LARANJA","N"
"232","ALIANÇA","ALIMENTADOR","LARANJA","N"
"233","OLARIA","ALIMENTADOR","LARANJA","N"
"236","SÃO BENEDITO","ALIMENTADOR","LARANJA","S"
"242","V. LEONICE","ALIMENTADOR","LARANJA","F"
"243","STA. TEREZINHA","ALIMENTADOR","LARANJA","F"
"244","JD. DO ARROIO","ALIMENTADOR","LARANJA","S"
"245","REFORÇO ANITA GARIBALDI","ALIMENTADOR","LARANJA","N"
"256","BARREIRINHA/GUADALUPE","LINHA DIRETA","PRATA","N"
"260","MAL. HERMES / STA. EFIGÊNIA","CONVENCIONAL","AMARELA","S"
"265","AHÚ / LOS ANGELES","CONVENCIONAL","AMARELA","S"
"266","ESTRIBO AHÚ","CONVENCIONAL","AMARELA","S"
"270","FERNANDO DE NORONHA","CONVENCIONAL","AMARELA","S"
"271","LARANJEIRAS","CONVENCIONAL","AMARELA","S"
"272","PAINEIRAS","CONVENCIONAL","AMARELA","S"
"274","STA. GEMA","CONVENCIONAL","AMARELA","S"
"280","NOSSA SRA. DE NAZARÉ","CONVENCIONAL","AMARELA","S"
"285","JUVEVÊ / ÁGUA VERDE","CONVENCIONAL","AMARELA","S"
"302","CENTENÁRIO / RUI BARBOSA","EXPRESSO","VERMELHA","N"
"303","CENTENÁRIO / C. COMPRIDO","EXPRESSO","VERMELHA","N"
"304","PINHAIS / C. COMPRIDO","LINHA DIRETA","PRATA","N"
"305","CENTENÁRIO","LINHA DIRETA","PRATA","N"
"307","B. ALTO / STA. FELICIDADE","LINHA DIRETA","PRATA","N"
"308","MAD. CENTENÁRIO / RUI BARBOSA","MADRUGUEIRO","MADRUGUEIRO","N"
"309","MAD. CENTENÁRIO","MADRUGUEIRO","MADRUGUEIRO","N"
"311","ARAGUAIA","ALIMENTADOR","LARANJA","F"
"321","TRINDADE","ALIMENTADOR","LARANJA","N"
"322","CAMARGO","ALIMENTADOR","LARANJA","N"
"323","V. AUTÓDROMO","ALIMENTADOR","LARANJA","N"
"331","MERCÚRIO","ALIMENTADOR","LARANJA","S"
"332","ACRÓPOLE","ALIMENTADOR","LARANJA","N"
"334","AGRÍCOLA","ALIMENTADOR","LARANJA","N"
"335","CENTENÁRIO / BOQUEIRÃO","ALIMENTADOR","LARANJA","N"
"336","V. RENO","ALIMENTADOR","LARANJA","N"
"338","CENTENÁRIO / HAUER","ALIMENTADOR","LARANJA","N"
"340","DETRAN / B. ALTO","LINHA DIRETA","PRATA","N"
"341","B. ALTO / STA. CÂNDIDA","ALIMENTADOR","LARANJA","N"
"342","B. ALTO / BOA VISTA","ALIMENTADOR","LARANJA","N"
"343","PARAÍSO","ALIMENTADOR","LARANJA","S"
"360","NOVENA","CONVENCIONAL","AMARELA","N"
"361","AUGUSTO STRESSER","CONVENCIONAL","AMARELA","S"
"365","JD. SOCIAL / BATEL","CONVENCIONAL","AMARELA","S"
"366","ITUPAVA / HOSP. MILITAR","CONVENCIONAL","AMARELA","S"
"370","RUA XV / BARIGUI","CONVENCIONAL","AMARELA","N"
"371","HIGIENÓPOLIS","TRONCAL","AMARELA","N"
"372","TARUMÃ","TRONCAL","AMARELA","N"
"373","ALTO TARUMÃ","TRONCAL","AMARELA","N"
"374","HUGO LANGE","TRONCAL","AMARELA","N"
"375","SAGRADO CORAÇÃO","TRONCAL","AMARELA","N"
"378","INTER-HOSPITAIS","CONVENCIONAL","AMARELA","S"
"380","DETRAN / VIC. MACHADO","CONVENCIONAL","AMARELA","N"
"385","CRISTO REI","CONVENCIONAL","AMARELA","S"
"386","CAJURU","CONVENCIONAL","AMARELA","S"
"387","PALOTINOS","CONVENCIONAL","AMARELA","S"
"389","MAD. TARUMÃ / AUGUSTA","MADRUGUEIRO","MADRUGUEIRO","N"
"393","C. IMBUIA / PQ. BARIGUI","CONVENCIONAL","AMARELA","S"
"461","STA. BARBARA","CONVENCIONAL","AMARELA","S"
"462","PETRÓPOLIS","CONVENCIONAL","AMARELA","N"
"463","SOLITUDE","CONVENCIONAL","AMARELA","N"
"464","A. MUNHOZ / J. BOTÂNICO","CONVENCIONAL","AMARELA","S"
"465","ERASTO  GAERTNER","CONVENCIONAL","AMARELA","N"
"466","ESTUDANTES","CONVENCIONAL","AMARELA","S"
"467","V. MACEDO","CONVENCIONAL","AMARELA","S"
"468","JD. CENTAURO","CONVENCIONAL","AMARELA","N"
"469","CENTRO POLITÉCNICO","LINHA DIRETA","PRATA","N"
"470","GUABIROTUBA","CONVENCIONAL","AMARELA","S"
"471","V. SÃO PAULO","CONVENCIONAL","AMARELA","N"
"472","UBERABA","CONVENCIONAL","AMARELA","N"
"474","JD. ITIBERÊ","CONVENCIONAL","AMARELA","N"
"475","CANAL BELÉM","CONVENCIONAL","AMARELA","N"
"489","MAD. PETRÓPOLIS / SOLITUDE","MADRUGUEIRO","MADRUGUEIRO","N"
"500","LIGEIRAO BOQUEIRAO","LIGEIRÃO","AZUL","N"
"502","CIRCULAR SUL (HORÁRIO)","EXPRESSO","VERMELHA","N"
"503","BOQUEIRÃO","EXPRESSO","VERMELHA","N"
"505","BOQUEIRÃO / C. CÍVICO","LINHA DIRETA","PRATA","N"
"506","BAIRRO NOVO","LINHA DIRETA","PRATA","N"
"507","SÍTIO CERCADO (HORÁRIO)","LINHA DIRETA","PRATA","N"
"508","SÍTIO CERCADO (ANTI-HORÁRIO)","LINHA DIRETA","PRATA","N"
"509","MAD. BOQUEIRÃO","MADRUGUEIRO","MADRUGUEIRO","N"
"511","SÃO FRANCISCO","ALIMENTADOR","LARANJA","N"
"512","ITAMARATI","ALIMENTADOR","LARANJA","N"
"513","HAUER / BOQUEIRÃO","ALIMENTADOR","LARANJA","N"
"515","IGUAPE II","ALIMENTADOR","LARANJA","N"
"516","C. BELEM / S. FILHO","ALIMENTADOR","LARANJA","S"
"518","PUC/RODOFERROVIARIA","LINHA DIRETA","PRATA","N"
"519","MAD. S. FRANCISCO / IGUAPE","MADRUGUEIRO","MADRUGUEIRO","N"
"521","NIVALDO BRAGA","ALIMENTADOR","LARANJA","N"
"522","MARINGÁ","ALIMENTADOR","LARANJA","N"
"523","IGUAPE I","ALIMENTADOR","LARANJA","N"
"527","PINHEIRINHO/BOQUEIRAO","LINHA DIRETA","PRATA","N"
"531","STA. INÊS","ALIMENTADOR","LARANJA","N"
"532","JD. PARANAENSE","ALIMENTADOR","LARANJA","N"
"533","E. VERÍSSIMO / PANTANAL","ALIMENTADOR","LARANJA","N"
"534","PARIGOT DE SOUZA","ALIMENTADOR","LARANJA","N"
"535","OSTERNACK / BOQUEIRÃO","ALIMENTADOR","LARANJA","N"
"536","ZOOLÓGICO","ALIMENTADOR","LARANJA","N"
"539","REFORÇO TERMINAL","ALIMENTADOR","LARANJA","N"
"540","BOQUEIRAO / MONDELEZ","ALIMENTADOR","LARANJA","N"
"541","BAIRRO NOVO A","ALIMENTADOR","LARANJA","N"
"542","BAIRRO NOVO B","ALIMENTADOR","LARANJA","N"
"545","TRABALHADOR","ALIMENTADOR","LARANJA","N"
"547","BAIRRO NOVO C","ALIMENTADOR","LARANJA","N"
"548","OSTERNACK / S. CERCADO","ALIMENTADOR","LARANJA","N"
"549","MAD. BAIRRO NOVO","MADRUGUEIRO","MADRUGUEIRO","N"
"550","LIGEIRÃO - PINHEIRINHO / C. GOMES","LIGEIRÃO","AZUL","N"
"551","XAXIM / LINHA VERDE","ALIMENTADOR","LARANJA","N"
"552","SAMBAQUI","ALIMENTADOR","LARANJA","N"
"560","ALFERES POLI","CONVENCIONAL","AMARELA","S"
"561","GUILHERMINA","CONVENCIONAL","AMARELA","N"
"594","MENONITAS","CONVENCIONAL","AMARELA","N"
"602","CIRCULAR SUL  (ANTI-HORÁRIO)","EXPRESSO","VERMELHA","N"
"603","PINHEIRINHO/RUI BARBOSA","EXPRESSO","VERMELHA","N"
"607","COLOMBO / CIC","LINHA DIRETA","PRATA","N"
"608","MAD. PINHEIRINHO","MADRUGUEIRO","MADRUGUEIRO","N"
"609","MAD. CIC","MADRUGUEIRO","MADRUGUEIRO","N"
"610","S. CERCADO / C. RASO","LINHA DIRETA","PRATA","N"
"611","FAZENDINHA / PORTÃO","ALIMENTADOR","LARANJA","N"
"612","PORTÃO / CIC","ALIMENTADOR","LARANJA","N"
